"IndustrySummary","Type","Sector","SubSector","Industry","Year","employment_T","compensation_M"
"            Publishing industries, except internet (includes software)",,,,,2016,"1",55.00
"            Motion picture and sound recording industries",,,,,2016,"0",7.00
"            Broadcasting and telecommunications",,,,,2016,"0",17.00
"            Data processing, internet publishing, and other information services",,,,,2016,"0",52.00
"        Finance, insurance, real estate, rental, and leasing",,,,,2016,"33",2827.00
"            Finance and insurance",,,,,2016,"16",2012.00
"                Federal Reserve banks, credit intermediation, and related activities",,,,,2016,"1",47.00
"                Securities, commodity contracts, and investments",,,,,2016,"0",.00
"                Insurance carriers and related activities",,,,,2016,"16",1965.00
"                Funds, trusts, and other financial vehicles",,,,,2016,"0",.00
"            Real estate and rental and leasing",,,,,2016,"17",815.00
"                Real estate",,,,,2016,"9",439.00
"                    Housing",,,,,2016,"9",438.00
"                    Other real estate",,,,,2016,"0",1.00
"                Rental and leasing services and lessors of intangible assets",,,,,2016,"8",376.00
"        Professional and business services",,,,,2016,"45",3347.00
"            Professional, scientific, and technical services",,,,,2016,"10",1255.00
"                Legal services",,,,,2016,"2",227.00
"                Computer systems design and related services",,,,,2016,"0",21.00
"                Miscellaneous professional, scientific, and technical services",,,,,2016,"8",1008.00
"            Management of companies and enterprises",,,,,2016,"0",36.00
"            Administrative and waste management services",,,,,2016,"35",2056.00
"                Administrative and support services",,,,,2016,"35",2055.00
"                Waste management and remediation services",,,,,2016,"0",1.00
"        Educational services, health care, and social assistance",,,,,2016,"22",1460.00
"            Educational services",,,,,2016,"21",1386.00
"            Health care and social assistance",,,,,2016,"1",74.00
"                Ambulatory health care services",,,,,2016,"0",27.00
"                Hospitals",,,,,2016,"1",40.00
"                Nursing and residential care facilities",,,,,2016,"0",5.00
"                Social assistance",,,,,2016,"0",2.00
"        Arts, entertainment, recreation, accommodation, and food services",,,,,2016,"674",17735.00
"            Arts, entertainment, and recreation",,,,,2016,"202",5255.00
"                Performing arts, spectator sports, museums, and related activities",,,,,2016,"17",548.00
"                Amusements, gambling, and recreation industries",,,,,2016,"185",4707.00
"            Accommodation and food services",,,,,2016,"472",12480.00
"                Accommodation",,,,,2016,"196",5766.00
"                Food services and drinking places",,,,,2016,"276",6714.00
"        Other services, except government",,,,,2016,"32",1531.00
"    Government",,,,,2016,"686",75407.00
"        Federal",,,,,2016,"610",69295.00
"            General government",,,,,2016,"610",69248.00
"                National defense",,,,,2016,"533",63344.00
"                Nondefense",,,,,2016,"77",5905.00
"            Government enterprises",,,,,2016,"0",46.00
"        State and local",,,,,2016,"76",6112.00
"            General government",,,,,2016,"41",3031.00
"            Government enterprises",,,,,2016,"35",3081.00
"All Industries",,,,,2015,"2442",164946.00
"    Private industries",,,,,2015,"1757",91430.00
"        Agriculture, forestry, fishing, and hunting",,,,,2015,"15",817.00
"            Farms",,,,,2015,"2",84.00
"            Forestry, fishing, and related activities",,,,,2015,"13",732.00
"        Mining",,,,,2015,"140",16901.00
"            Oil and gas extraction",,,,,2015,"34",6890.00
"            Mining, except oil and gas",,,,,2015,"4",241.00
"            Support activities for mining",,,,,2015,"102",9770.00
"        Utilities",,,,,2015,"11",1082.00
"        Construction",,,,,2015,"65",1787.00
"        Manufacturing",,,,,2015,"138",11422.00
"            Durable goods",,,,,2015,"104",9435.00
"                Wood products",,,,,2015,"0",1.00
"                Nonmetallic mineral products",,,,,2015,"0",14.00
"                Primary metals",,,,,2015,"0",1.00
"                Fabricated metal products",,,,,2015,"1",63.00
"                Machinery",,,,,2015,"18",1969.00
"                Computer and electronic products",,,,,2015,"1",78.00
"                Electrical equipment, appliances, and components",,,,,2015,"1",114.00
"                Motor vehicles, bodies and trailers, and parts",,,,,2015,"1",48.00
"                Other transportation equipment",,,,,2015,"80",6910.00
"                Furniture and related products",,,,,2015,"0",7.00
"                Miscellaneous manufacturing",,,,,2015,"3",230.00
"            Nondurable goods",,,,,2015,"33",1987.00
"                Food and beverage and tobacco products",,,,,2015,"22",830.00
"                Textile mills and textile product mills",,,,,2015,"1",42.00
"                Apparel and leather and allied products",,,,,2015,"5",243.00
"                Paper products",,,,,2015,"0",.00
"                Printing and related support activities",,,,,2015,"0",1.00
"                Petroleum and coal products",,,,,2015,"4",716.00
"                Chemical products",,,,,2015,"1",142.00
"                Plastics and rubber products",,,,,2015,"0",14.00
"        Wholesale trade",,,,,2015,"46",4096.00
"        Retail trade",,,,,2015,"334",9792.00
"            Motor vehicle and parts dealers",,,,,2015,"25",963.00
"            Food and beverage stores",,,,,2015,"46",1364.00
"            General merchandise stores",,,,,2015,"65",1815.00
"            Other retail",,,,,2015,"199",5649.00
"        Transportation and warehousing",,,,,2015,"225",19610.00
"            Air transportation",,,,,2015,"18",1931.00
"            Rail transportation",,,,,2015,"2",269.00
"            Water transportation",,,,,2015,"50",5333.00
"            Truck transportation",,,,,2015,"26",1655.00
"            Transit and ground passenger transportation",,,,,2015,"12",516.00
"            Pipeline transportation",,,,,2015,"4",569.00
"            Other transportation and support activities",,,,,2015,"94",8556.00
"            Warehousing and storage",,,,,2015,"18",781.00
"        Information",,,,,2015,"1",117.00
"            Publishing industries, except internet (includes software)",,,,,2015,"1",50.00
"            Motion picture and sound recording industries",,,,,2015,"0",6.00
"            Broadcasting and telecommunications",,,,,2015,"0",18.00
"            Data processing, internet publishing, and other information services",,,,,2015,"0",43.00
"        Finance, insurance, real estate, rental, and leasing",,,,,2015,"33",2808.00
"            Finance and insurance",,,,,2015,"17",2029.00
"                Federal Reserve banks, credit intermediation, and related activities",,,,,2015,"1",46.00
"                Securities, commodity contracts, and investments",,,,,2015,"0",.00
"                Insurance carriers and related activities",,,,,2015,"16",1983.00
"                Funds, trusts, and other financial vehicles",,,,,2015,"0",.00
"            Real estate and rental and leasing",,,,,2015,"17",779.00
"                Real estate",,,,,2015,"9",429.00
"                    Housing",,,,,2015,"9",428.00
"                    Other real estate",,,,,2015,"0",1.00
"                Rental and leasing services and lessors of intangible assets",,,,,2015,"7",350.00
"        Professional and business services",,,,,2015,"42",3281.00
"            Professional, scientific, and technical services",,,,,2015,"10",1296.00
"                Legal services",,,,,2015,"2",222.00
"                Computer systems design and related services",,,,,2015,"0",31.00
"                Miscellaneous professional, scientific, and technical services",,,,,2015,"8",1042.00
"            Management of companies and enterprises",,,,,2015,"0",22.00
"            Administrative and waste management services",,,,,2015,"32",1963.00
"                Administrative and support services",,,,,2015,"32",1962.00
"                Waste management and remediation services",,,,,2015,"0",1.00
"        Educational services, health care, and social assistance",,,,,2015,"23",1441.00
"            Educational services",,,,,2015,"22",1378.00
"            Health care and social assistance",,,,,2015,"1",63.00
"                Ambulatory health care services",,,,,2015,"0",20.00
"                Hospitals",,,,,2015,"0",36.00
"                Nursing and residential care facilities",,,,,2015,"0",5.00
"                Social assistance",,,,,2015,"0",2.00
"        Arts, entertainment, recreation, accommodation, and food services",,,,,2015,"653",16844.00
"            Arts, entertainment, and recreation",,,,,2015,"193",4923.00
"                Performing arts, spectator sports, museums, and related activities",,,,,2015,"17",501.00
"                Amusements, gambling, and recreation industries",,,,,2015,"177",4422.00
"            Accommodation and food services",,,,,2015,"459",11921.00
"                Accommodation",,,,,2015,"194",5720.00
"                Food services and drinking places",,,,,2015,"265",6201.00
"        Other services, except government",,,,,2015,"32",1434.00
"    Government",,,,,2015,"685",73516.00
"        Federal",,,,,2015,"613",67815.00
"            General government",,,,,2015,"613",67769.00
"                National defense",,,,,2015,"538",62150.00
"                Nondefense",,,,,2015,"75",5619.00
"            Government enterprises",,,,,2015,"0",46.00
"        State and local",,,,,2015,"72",5700.00
"            General government",,,,,2015,"41",2946.00
"            Government enterprises",,,,,2015,"31",2755.00
"All Industries",,,,,2014,"2409",160349.00
"    Private industries",,,,,2014,"1718",87893.00
"        Agriculture, forestry, fishing, and hunting",,,,,2014,"14",817.00
"            Farms",,,,,2014,"2",82.00
"            Forestry, fishing, and related activities",,,,,2014,"12",735.00
"        Mining",,,,,2014,"148",17628.00
"            Oil and gas extraction",,,,,2014,"34",6865.00
"            Mining, except oil and gas",,,,,2014,"4",235.00
"            Support activities for mining",,,,,2014,"110",10528.00
"        Utilities",,,,,2014,"10",1001.00
"        Construction",,,,,2014,"60",1829.00
"        Manufacturing",,,,,2014,"133",10387.00
"            Durable goods",,,,,2014,"99",8480.00
"                Wood products",,,,,2014,"0",1.00
"                Nonmetallic mineral products",,,,,2014,"0",13.00
"                Primary metals",,,,,2014,"0",1.00
"                Fabricated metal products",,,,,2014,"1",67.00
"                Machinery",,,,,2014,"19",2047.00
"                Computer and electronic products",,,,,2014,"1",56.00
"                Electrical equipment, appliances, and components",,,,,2014,"1",137.00
"                Motor vehicles, bodies and trailers, and parts",,,,,2014,"1",44.00
"                Other transportation equipment",,,,,2014,"73",5903.00
"                Furniture and related products",,,,,2014,"0",7.00
"                Miscellaneous manufacturing",,,,,2014,"3",204.00
"            Nondurable goods",,,,,2014,"34",1907.00
"                Food and beverage and tobacco products",,,,,2014,"23",794.00
"                Textile mills and textile product mills",,,,,2014,"1",45.00
"                Apparel and leather and allied products",,,,,2014,"5",245.00
"                Paper products",,,,,2014,"0",.00
"                Printing and related support activities",,,,,2014,"0",1.00
"                Petroleum and coal products",,,,,2014,"4",685.00
"                Chemical products",,,,,2014,"1",123.00
"                Plastics and rubber products",,,,,2014,"0",14.00
"        Wholesale trade",,,,,2014,"44",3837.00
"        Retail trade",,,,,2014,"322",9121.00
"            Motor vehicle and parts dealers",,,,,2014,"24",892.00
"            Food and beverage stores",,,,,2014,"44",1286.00
"            General merchandise stores",,,,,2014,"63",1724.00
"            Other retail",,,,,2014,"190",5219.00
"        Transportation and warehousing",,,,,2014,"219",18241.00
"            Air transportation",,,,,2014,"18",1810.00
"            Rail transportation",,,,,2014,"3",289.00
"            Water transportation",,,,,2014,"50",5129.00
"            Truck transportation",,,,,2014,"24",1481.00
"            Transit and ground passenger transportation",,,,,2014,"12",485.00
"            Pipeline transportation",,,,,2014,"4",471.00
"            Other transportation and support activities",,,,,2014,"92",7884.00
"            Warehousing and storage",,,,,2014,"16",692.00
"        Information",,,,,2014,"1",107.00
"            Publishing industries, except internet (includes software)",,,,,2014,"1",45.00
"            Motion picture and sound recording industries",,,,,2014,"0",5.00
"            Broadcasting and telecommunications",,,,,2014,"0",19.00
"            Data processing, internet publishing, and other information services",,,,,2014,"0",38.00
"        Finance, insurance, real estate, rental, and leasing",,,,,2014,"32",2555.00
"            Finance and insurance",,,,,2014,"17",1937.00
"                Federal Reserve banks, credit intermediation, and related activities",,,,,2014,"1",41.00
"                Securities, commodity contracts, and investments",,,,,2014,"0",.00
"                Insurance carriers and related activities",,,,,2014,"16",1896.00
"                Funds, trusts, and other financial vehicles",,,,,2014,"0",.00
"            Real estate and rental and leasing",,,,,2014,"16",618.00
"                Real estate",,,,,2014,"9",321.00
"                    Housing",,,,,2014,"9",321.00
"                    Other real estate",,,,,2014,"0",1.00
"                Rental and leasing services and lessors of intangible assets",,,,,2014,"7",296.00
"        Professional and business services",,,,,2014,"42",3074.00
"            Professional, scientific, and technical services",,,,,2014,"10",1276.00
"                Legal services",,,,,2014,"2",217.00
"                Computer systems design and related services",,,,,2014,"0",24.00
"                Miscellaneous professional, scientific, and technical services",,,,,2014,"8",1035.00
"            Management of companies and enterprises",,,,,2014,"0",22.00
"            Administrative and waste management services",,,,,2014,"31",1775.00
"                Administrative and support services",,,,,2014,"31",1774.00
"                Waste management and remediation services",,,,,2014,"0",1.00
"        Educational services, health care, and social assistance",,,,,2014,"21",1333.00
"            Educational services",,,,,2014,"20",1277.00
"            Health care and social assistance",,,,,2014,"1",56.00
"                Ambulatory health care services",,,,,2014,"0",17.00
"                Hospitals",,,,,2014,"0",33.00
"                Nursing and residential care facilities",,,,,2014,"0",4.00
"                Social assistance",,,,,2014,"0",2.00
"        Arts, entertainment, recreation, accommodation, and food services",,,,,2014,"639",16639.00
"            Arts, entertainment, and recreation",,,,,2014,"193",5116.00
"                Performing arts, spectator sports, museums, and related activities",,,,,2014,"17",598.00
"                Amusements, gambling, and recreation industries",,,,,2014,"176",4518.00
"            Accommodation and food services",,,,,2014,"446",11523.00
"                Accommodation",,,,,2014,"189",5808.00
"                Food services and drinking places",,,,,2014,"257",5715.00
"        Other services, except government",,,,,2014,"33",1323.00
"    Government",,,,,2014,"692",72455.00
"        Federal",,,,,2014,"622",67086.00
"            General government",,,,,2014,"620",67037.00
"                National defense",,,,,2014,"542",61360.00
"                Nondefense",,,,,2014,"77",5677.00
"            Government enterprises",,,,,2014,"2",49.00
"        State and local",,,,,2014,"70",5369.00
"            General government",,,,,2014,"40",2795.00
"            Government enterprises",,,,,2014,"30",2574.00
